episode,objective,epsilon,total_assigned,active_couriers,avg_courier_time,max_courier_time,remaining_polygons
0,1088380.0,0.2985,300,100,10883.8,26124.0,0
1,1099976.0,0.2970075,300,100,10999.76,24722.0,0
2,1146879.0,0.29552246249999997,300,100,11468.79,28215.0,0
3,1126201.0,0.2940448501875,300,100,11262.01,27047.0,0
4,1145564.0,0.29257462593656247,300,100,11455.64,26451.0,0
5,1158471.0,0.2911117528068797,300,100,11584.71,26947.0,0
6,1156871.0,0.28965619404284526,300,100,11568.71,27503.0,0
7,1160486.0,0.28820791307263105,300,100,11604.86,27177.0,0
8,1148982.0,0.28676687350726787,300,100,11489.82,27187.0,0
9,1148514.0,0.2853330391397315,300,100,11485.14,27239.0,0
10,1165426.0,0.28390637394403284,300,100,11654.26,27622.0,0
11,1156254.0,0.2824868420743127,300,100,11562.54,27277.0,0
12,1147555.0,0.2810744078639411,300,100,11475.55,27244.0,0
13,1140281.0,0.2796690358246214,300,100,11402.81,28089.0,0
14,1143357.0,0.27827069064549825,300,100,11433.57,25443.0,0
15,1162674.0,0.27687933719227076,300,100,11626.74,27501.0,0
16,1171136.0,0.2754949405063094,300,100,11711.36,26988.0,0
17,1160544.0,0.2741174658037779,300,100,11605.44,27826.0,0
18,1155240.0,0.272746878474759,300,100,11552.4,27891.0,0
19,1138515.0,0.2713831440823852,300,100,11385.15,25954.0,0
20,1149463.0,0.27002622836197326,300,100,11494.63,27434.0,0
21,1157339.0,0.2686760972201634,300,100,11573.39,27375.0,0
22,1161308.0,0.26733271673406256,300,100,11613.08,27187.0,0
23,1163006.0,0.26599605315039226,300,100,11630.06,27077.0,0
24,1161007.0,0.2646660728846403,300,100,11610.07,26550.0,0
25,1156833.0,0.26334274252021705,300,100,11568.33,26276.0,0
26,1180646.0,0.26202602880761594,300,100,11806.46,27436.0,0
27,1156323.0,0.26071589866357786,300,100,11563.23,28178.0,0
28,1179103.0,0.25941231917026,300,100,11791.03,27064.0,0
29,1140669.0,0.2581152575744087,300,100,11406.69,28006.0,0
30,1144465.0,0.2568246812865366,300,100,11444.65,27262.0,0
